attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
215,485,9774,328,61,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
216,485,9774,326,61,"a:1:{i:0;s:4:"1223";}",1.00,0.00,0.00,0
217,485,9774,327,61,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
218,19,9774,329,62,"a:1:{i:0;s:4:"1235";}",1.00,0.00,0.00,0
219,19,9774,326,62,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
220,19,9774,327,62,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
221,19,9774,330,62,"a:1:{i:0;s:4:"1241";}",1.00,0.00,0.00,0
222,19,9774,329,62,"a:1:{i:0;s:4:"1235";}",1.00,0.00,0.00,0
223,19,9774,326,62,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
224,19,9774,327,62,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
225,19,9774,330,62,"a:1:{i:0;s:4:"1241";}",1.00,0.00,0.00,0
226,488,9774,327,63,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
227,488,9774,328,63,"a:1:{i:0;s:4:"1233";}",1.00,0.00,0.00,0
228,488,9774,330,63,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
229,488,9774,329,63,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
230,488,9774,326,63,"a:1:{i:0;s:4:"1223";}",1.00,0.00,0.00,0
231,577,9774,330,67,"a:1:{i:0;s:4:"1238";}",1.00,1.00,0.00,1
232,577,9774,329,67,"a:1:{i:0;s:4:"1234";}",1.00,0.00,0.00,0
233,577,9774,327,67,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
234,577,9774,328,67,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
235,577,9774,326,67,"a:1:{i:0;s:4:"1222";}",1.00,0.00,0.00,0
236,577,9774,330,67,"a:1:{i:0;s:4:"1238";}",1.00,1.00,0.00,1
237,577,9774,329,67,"a:1:{i:0;s:4:"1234";}",1.00,0.00,0.00,0
238,577,9774,327,67,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
239,577,9774,328,67,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
240,577,9774,326,67,"a:1:{i:0;s:4:"1222";}",1.00,0.00,0.00,0
